Year Built,Length,Width,Depth,Displacement,Number of Cabins,Number of beds,Fuel Capacity,Engine Hours,PriceClean,Number of views last 7 days,New_Used,Fuel_Type
2018,5,2,0,500,0,0,0,0,8600,166.0,1.0,3
2020,4,1,0,370,0,0,0,0,9265,873.0,1.0,2
1990,5,2,0,0,0,0,60,0,9200,258.0,0.0,2
2018,5,2,0,495,0,0,0,0,8500,221.0,1.0,3
1975,4,1,0,0,0,0,59,20,8500,110.0,0.0,2
2001,5,1,0,0,0,1,0,780,8500,96.0,0.0,2
2018,5,2,0,500,0,0,0,0,8500,165.0,0.0,3
1994,5,2,0,0,1,2,0,0,8500,78.0,0.0,2
2006,5,2,0,0,1,2,1,1160,8500,116.0,0.0,2
2016,3,1,0,0,0,0,35,0,8500,250.0,0.0,2
2005,5,2,0,0,1,0,0,0,8500,173.0,0.0,2
1998,7,2,1,0,1,3,230,385,8500,738.0,0.0,2
2019,3,1,0,52,0,0,0,0,10500,503.0,0.0,2
1980,8,3,0,0,0,2,0,0,9750,183.0,0.0,3
2011,4,1,0,0,0,0,0,0,10500,465.0,0.0,2
2016,0,0,0,0,0,0,0,0,10500,393.0,0.0,3
0,4,1,0,0,0,0,0,0,10450,162.0,1.0,3
1994,5,2,0,900,0,0,100,0,9650,115.0,0.0,2
1984,6,2,0,0,0,1,0,954,10400,418.0,0.0,2
1992,5,2,0,0,1,3,0,0,9599,185.0,,2
2016,4,2,0,530,0,0,0,0,9575,64.0,1.0,3
0,4,1,0,227,0,0,0,0,10350,168.0,1.0,3
2019,4,2,0,0,0,0,0,0,9553,91.0,1.0,3
1964,8,2,1,0,0,4,200,0,9500,138.0,0.0,3
2019,5,2,0,0,0,0,0,0,9500,184.0,1.0,3
1985,6,2,0,0,1,0,60,0,9500,162.0,0.0,1
1975,9,3,1,0,0,2,0,0,9500,303.0,0.0,3
1998,3,1,0,0,0,0,0,0,9500,96.0,0.0,3
1991,6,2,0,0,0,0,0,400,11000,256.0,0.0,2
2006,7,1,0,0,0,0,0,0,11000,230.0,0.0,3
2006,6,1,0,350,0,0,25,0,11000,182.0,0.0,2
0,4,1,0,0,0,0,0,0,10990,109.0,1.0,3
2020,4,2,0,0,0,0,0,0,10115,115.0,1.0,3
2020,4,1,0,0,0,0,0,0,10900,159.0,1.0,3
1994,5,2,0,0,0,0,0,620,10900,1057.0,0.0,2
1993,8,2,0,6000,1,2,265,200,10000,585.0,0.0,2
1979,7,2,1,0,1,0,0,240,10000,185.0,0.0,2
2018,5,2,0,600,0,0,0,0,10000,155.0,1.0,3
1978,7,2,0,0,0,2,0,0,10000,186.0,0.0,3
1975,12,3,0,0,0,0,0,0,10000,182.0,0.0,1
1940,12,2,0,0,1,1,200,1350,10000,900.0,0.0,1
1991,7,2,0,0,1,1,0,600,10000,783.0,0.0,2
1995,7,2,0,0,0,0,0,0,10000,175.0,0.0,3
1995,7,2,0,0,0,0,0,0,10000,207.0,0.0,2
1988,6,2,0,949,1,0,106,250,11000,284.0,0.0,3
1974,4,2,0,0,0,0,45,0,11000,125.0,0.0,2
1997,6,2,0,2207,1,0,246,0,11000,229.0,0.0,3
1996,7,2,0,0,1,4,0,750,11000,226.0,0.0,2
1971,5,2,0,0,0,0,0,39,11000,87.0,0.0,2
1999,5,2,0,0,0,2,0,0,11000,95.0,0.0,2
1998,6,2,0,1238,1,0,170,0,11000,175.0,0.0,2
1992,7,2,0,2420,1,2,0,0,11000,173.0,0.0,2
2000,6,2,0,0,0,0,0,0,11000,422.0,0.0,2
1986,7,2,0,0,2,4,0,0,11000,243.0,0.0,2
1987,7,2,0,0,0,4,0,0,11000,254.0,0.0,3
2020,5,2,0,582,0,0,50,0,10999,150.0,1.0,3
2020,5,2,0,0,0,0,25,0,10999,255.0,1.0,2
2020,5,2,0,0,0,0,0,0,10999,179.0,1.0,3
2003,4,2,0,0,1,0,0,0,10990,169.0,0.0,2
1977,6,2,0,0,1,4,40,0,10990,136.0,,1
1993,7,2,0,0,1,4,0,470,12000,141.0,0.0,2
1990,6,2,0,0,0,0,170,522,12000,442.0,0.0,2
1973,7,1,0,600,1,1,24,72,12000,241.0,0.0,2
1979,6,2,0,0,1,0,80,1330,12000,327.0,0.0,1
1988,6,2,0,2,1,0,200,0,12000,188.0,0.0,2
1978,7,2,0,0,2,4,300,0,12000,1101.0,0.0,1
1970,7,2,0,0,2,0,0,0,12000,370.0,0.0,2
1978,7,2,0,0,0,5,90,0,12000,,0.0,1
1989,5,2,0,0,1,0,100,0,12000,,0.0,2
2019,4,1,0,295,0,0,0,0,11990,133.0,1.0,3
2005,5,4,0,500,0,0,0,270,11990,141.0,0.0,2
2019,5,2,0,0,0,0,0,0,12950,284.0,1.0,3
2019,4,1,0,260,0,0,0,0,89000,166.0,1.0,3
2020,4,2,0,490,0,0,0,0,89000,134.0,1.0,3
2020,5,1,0,0,0,0,0,0,12900,273.0,1.0,3
2019,4,1,0,450,0,0,0,0,12900,365.0,1.0,2
2020,5,2,0,450,0,0,0,0,12890,,1.0,3
1994,5,2,0,0,0,0,0,522,13888,333.0,0.0,2
2019,4,2,0,500,0,0,0,0,12800,73.0,0.0,2
1994,6,2,0,0,0,0,0,0,12800,235.0,0.0,3
2020,4,1,0,0,0,0,0,0,12770,180.0,1.0,3
2020,4,1,0,0,0,0,0,0,94990,67.0,1.0,3
2020,5,2,0,0,0,0,0,0,12750,97.0,1.0,3
0,5,1,0,270,0,0,0,0,12680,159.0,1.0,3
0,4,1,0,252,0,0,0,0,13690,349.0,1.0,3
2019,5,2,0,0,0,0,50,0,12500,147.0,1.0,2
1973,8,3,0,4800,0,2,0,0,12500,177.0,0.0,1
1913,14,3,0,14000,3,8,250,0,12500,235.0,0.0,1
1994,5,2,0,1300,0,0,0,550,12500,452.0,0.0,2
1983,7,2,0,0,0,2,40,0,12500,165.0,0.0,3
1965,6,2,0,0,0,0,40,0,12500,160.0,0.0,3
1950,6,2,0,0,0,0,45,0,12500,162.0,0.0,3
0,5,2,0,380,0,0,0,0,14800,278.0,1.0,3
1984,7,2,0,0,1,0,300,1300,14800,436.0,0.0,2
2014,5,2,0,0,0,0,0,0,13690,35.0,1.0,3
2018,4,1,0,450,0,0,0,0,14700,212.0,1.0,3
2019,5,2,0,0,0,0,0,0,13566,214.0,1.0,3
1992,6,2,0,0,0,0,0,950,14500,760.0,0.0,2
1998,5,2,0,0,1,0,100,0,13500,121.0,0.0,2
1997,6,2,0,1600,1,0,151,350,13500,222.0,0.0,2
1999,6,2,0,1,1,2,1,597,13500,110.0,0.0,1
1995,7,2,0,0,0,2,0,0,13500,83.0,0.0,3
1996,7,2,1,0,1,2,100,20,13500,264.0,0.0,1
2002,5,2,0,1400,0,0,0,0,13500,109.0,0.0,2
1990,8,2,0,0,1,2,400,0,13500,132.0,0.0,2
2014,4,2,0,0,0,0,0,35,13500,81.0,0.0,2
2006,6,2,0,0,1,2,0,323,13500,262.0,0.0,1
1963,6,2,0,0,0,0,0,0,13500,214.0,0.0,2
1998,3,2,0,1107,0,0,0,0,14500,186.0,0.0,2
0,4,1,0,0,0,0,0,0,15619,81.0,1.0,3
2020,5,2,0,670,1,2,0,0,15600,292.0,1.0,3
0,5,2,0,0,1,1,0,0,14400,279.0,1.0,3
2018,4,2,0,0,0,0,0,0,14366,119.0,1.0,3
2006,5,2,0,620,0,0,42,300,15500,151.0,0.0,2
1997,5,2,0,0,1,0,0,0,15500,,0.0,2
2019,4,1,0,0,0,0,0,0,15400,220.0,1.0,3
2019,6,2,0,880,0,0,0,0,14200,172.0,0.0,3
2019,5,1,0,470,0,0,0,0,14200,285.0,1.0,3
1997,9,3,0,0,2,2,0,0,14000,281.0,0.0,3
2019,6,2,0,800,0,0,0,0,14000,152.0,0.0,3
1990,6,2,0,0,1,0,0,70,14000,132.0,0.0,2
2018,5,2,0,540,0,0,0,0,14000,70.0,1.0,3
2008,4,2,0,0,1,2,12,0,14000,118.0,0.0,2
1992,7,2,0,0,0,0,155,30,14000,208.0,0.0,2
2008,5,2,0,0,0,0,0,0,14950,238.0,0.0,3
2014,4,1,0,420,0,0,25,1,14900,156.0,1.0,2
1983,10,3,0,5900,1,4,1000,0,14900,111.0,0.0,2
2020,5,2,0,520,0,0,0,0,14900,87.0,1.0,2
2019,4,1,0,0,0,0,0,0,14900,70.0,1.0,3
1948,8,2,0,0,0,4,35,0,14900,155.0,0.0,3
1980,9,3,0,0,2,4,0,300,14900,356.0,0.0,1
1984,7,2,0,0,0,0,0,0,14900,198.0,0.0,2
2017,5,2,0,0,0,0,0,165,14900,68.0,0.0,2
2018,5,1,0,350,0,0,0,0,14900,103.0,0.0,2
1975,10,3,0,0,0,4,125,0,14900,225.0,0.0,3
2020,5,2,0,520,0,0,0,0,14900,80.0,1.0,2
2001,8,3,0,0,0,4,0,0,14900,309.0,0.0,3
2002,5,2,0,0,1,2,40,0,14900,180.0,0.0,2
1995,5,2,0,0,0,0,0,0,14900,,0.0,2
2007,5,2,0,900,0,0,120,300,14900,,0.0,2
1995,6,2,0,0,1,4,0,19,15500,145.0,0.0,2
2020,5,2,0,495,0,0,0,0,15500,50.0,1.0,2
2007,6,2,0,0,0,0,0,0,15500,185.0,0.0,1
1979,6,2,0,3000,0,0,0,0,15500,125.0,0.0,2
1993,9,2,0,0,1,0,340,884,15500,236.0,0.0,2
1976,9,3,0,0,0,4,150,0,15500,253.0,0.0,3
1979,7,2,0,0,1,2,45,0,15500,311.0,0.0,1
2010,5,2,0,0,0,0,0,0,15500,,0.0,3
2020,5,2,0,865,1,2,110,0,15499,219.0,1.0,3
2017,5,2,0,0,0,0,0,0,15490,71.0,1.0,3
2020,5,2,0,780,0,0,100,0,15446,56.0,1.0,3
0,6,2,0,1000,0,0,0,0,15446,148.0,1.0,2
2019,6,2,0,630,0,0,0,0,15400,116.0,1.0,3
2019,5,1,0,390,0,0,0,0,114500,45.0,,3
0,7,1,0,0,0,0,25,0,13995,140.0,0.0,3
1986,7,2,0,0,0,0,0,0,155000,221.0,0.0,3
0,4,1,0,401,0,0,25,0,16490,54.0,1.0,2
2018,4,1,0,0,0,0,0,0,14950,53.0,1.0,3
2020,4,2,0,500,0,0,0,0,17684,341.0,1.0,2
0,5,2,0,800,0,0,0,0,16314,90.0,1.0,2
1992,6,2,0,0,1,2,0,1169,17500,201.0,0.0,1
0,4,1,0,401,0,0,25,0,16304,98.0,1.0,2
2020,5,2,0,0,1,2,100,0,16220,99.0,1.0,3
0,5,2,0,780,1,0,0,0,16219,75.0,1.0,2
0,5,2,0,950,0,0,0,0,16200,108.0,1.0,3
2019,5,2,0,500,0,0,0,0,16190,60.0,1.0,3
1995,7,2,0,0,1,0,0,700,17500,387.0,0.0,2
2020,6,2,0,0,0,0,0,0,17400,399.0,1.0,3
2019,5,2,0,400,0,0,0,0,17400,149.0,1.0,3
1964,9,3,1,0,1,4,500,300,165000,,0.0,1
2020,4,1,0,415,0,0,0,0,119500,50.0,1.0,3
1998,7,2,0,0,1,2,0,208,16000,141.0,0.0,2
2017,6,2,0,0,0,0,0,0,16900,53.0,0.0,2
1992,6,2,0,0,0,0,0,0,16900,154.0,0.0,2
1995,8,2,0,0,0,0,0,549,16900,244.0,0.0,2
2019,5,2,0,500,0,0,40,30,16900,107.0,0.0,2
1985,8,3,0,0,1,1,270,600,16900,405.0,0.0,2
2005,7,2,0,0,1,2,0,0,16900,62.0,0.0,3
2005,7,2,0,0,1,2,0,0,16900,98.0,0.0,2
2003,5,2,0,0,1,0,0,20,16900,152.0,0.0,2
0,4,1,0,0,0,0,0,0,16900,121.0,0.0,3
1995,5,2,0,0,0,1,120,0,16900,172.0,0.0,3
1970,7,2,0,0,1,2,0,0,16900,,0.0,1
2019,5,2,0,550,0,0,0,0,18260,339.0,1.0,3
2020,5,2,0,620,0,0,0,0,16870,127.0,1.0,3
2020,5,2,0,0,0,0,55,0,18210,247.0,1.0,2
2020,4,2,0,409,0,0,0,0,18200,241.0,1.0,3
1997,6,2,0,0,1,2,0,0,18200,331.0,0.0,2
1960,6,2,0,0,0,0,0,0,17500,96.0,0.0,3
2005,6,2,0,0,0,0,0,350,17500,144.0,0.0,2
1976,10,3,0,0,0,2,200,4200,17500,103.0,0.0,3
1930,22,4,1,0,0,0,0,0,17500,136.0,0.0,3
2010,5,2,0,500,1,2,70,190,17500,192.0,0.0,3
1960,5,2,30,500,0,0,20,100,17500,185.0,0.0,2
1984,8,2,1,0,0,2,0,2050,17500,149.0,0.0,3
1978,10,3,0,0,0,3,200,0,17500,,0.0,3
1978,11,3,1,0,0,4,600,1528,17500,,0.0,3
1984,7,2,0,1,1,2,100,300,17490,164.0,0.0,1
1977,7,2,0,2,2,4,80,1350,17490,162.0,0.0,1
2019,5,1,0,408,0,0,90,0,18900,215.0,1.0,2
0,5,2,0,500,0,0,0,0,18900,237.0,1.0,3
1978,8,3,0,0,0,4,100,0,17500,199.0,0.0,3
2001,5,2,0,0,0,0,0,340,18900,335.0,0.0,2
1990,6,2,0,0,1,0,150,650,18900,686.0,0.0,2
1998,5,2,0,0,0,0,0,1460,19500,1028.0,0.0,2
0,5,2,0,890,0,0,0,0,19500,349.0,1.0,3
2020,4,2,0,0,0,0,12,0,19500,409.0,0.0,2
2011,5,2,0,0,0,0,0,0,185000,193.0,0.0,3
2014,6,2,0,1500,0,0,86,280,18000,53.0,0.0,1
1986,7,2,0,0,1,2,0,0,18000,293.0,0.0,3
2004,6,2,0,0,0,0,0,0,18000,132.0,0.0,2
1990,7,2,1,3320,0,0,280,0,18000,375.0,0.0,1
2003,6,2,0,0,1,0,0,0,18000,333.0,0.0,2
1993,7,2,0,1100,1,2,100,325,18000,129.0,0.0,1
2004,6,2,0,1100,1,1,0,300,18000,211.0,0.0,2
1996,6,2,0,0,1,2,0,0,18000,188.0,0.0,2
1993,8,2,0,0,1,2,400,0,18000,334.0,0.0,2
2009,5,2,0,0,0,0,0,0,18000,119.0,0.0,2
1989,7,2,0,2400,1,0,200,950,18000,136.0,0.0,1
1981,8,3,0,5000,1,0,420,50,18000,132.0,0.0,1
0,7,2,0,0,0,0,0,0,18800,118.0,0.0,3
2015,5,2,0,750,0,2,1,100,18800,110.0,0.0,2
2020,6,2,0,0,0,0,0,0,18750,149.0,1.0,3
2019,6,2,0,850,0,0,100,50,18700,139.0,0.0,2
1990,6,2,0,0,1,1,100,543,18700,254.0,0.0,2
2020,6,2,0,1070,0,0,200,0,18690,324.0,1.0,2
1991,7,2,0,0,1,2,0,224,20000,220.0,0.0,2
2008,4,2,0,0,0,0,79,175,19990,540.0,0.0,2
1991,7,2,0,0,1,1,200,0,19990,339.0,0.0,2
2020,5,2,0,1441,0,0,100,0,18620,73.0,1.0,3
1985,7,2,1,0,1,0,160,295,18600,387.0,0.0,1
2020,6,2,0,800,1,0,70,0,20100,185.0,1.0,3
2020,5,1,0,0,1,0,0,0,19900,401.0,1.0,3
1993,6,2,0,0,0,1,0,0,19900,2026.0,0.0,2
2020,4,2,0,460,0,0,0,0,137800,95.0,1.0,3
2020,4,1,0,490,0,0,0,0,18515,145.0,1.0,3
1981,8,3,0,0,0,2,160,1475,19500,118.0,0.0,3
1975,8,3,0,0,0,2,75,50,19500,101.0,0.0,3
2005,6,2,0,0,0,2,55,0,19500,78.0,0.0,3
2010,5,2,0,700,1,2,0,38,19500,273.0,0.0,2
1996,8,2,0,0,0,2,0,0,19500,778.0,0.0,3
1972,9,3,1,0,0,2,200,1503,19500,,0.0,3
2009,6,2,0,0,0,0,0,550,19500,,0.0,2
1991,8,2,0,2,2,5,300,0,19500,,,2
1978,9,3,0,0,2,0,0,0,19500,,0.0,1
2003,5,2,0,1,1,0,120,550,19490,261.0,,2
2014,5,2,0,0,0,0,0,48,21000,163.0,0.0,1
0,6,2,0,0,0,0,0,0,21000,307.0,0.0,2
2018,4,1,0,543,0,0,0,0,20950,183.0,1.0,2
0,5,2,0,650,1,2,90,0,19301,227.0,1.0,2
2020,5,2,0,380,0,0,25,0,19300,117.0,1.0,2
2020,9,1,0,250,0,0,0,0,20800,235.0,1.0,3
2019,6,2,0,0,0,0,110,0,19900,217.0,1.0,2
2018,4,1,0,500,0,0,0,0,19900,121.0,1.0,2
1980,9,3,0,0,2,5,0,0,19900,355.0,0.0,1
1976,9,3,0,4500,0,0,0,0,19900,314.0,0.0,2
1997,7,2,1,0,0,2,0,0,19900,122.0,0.0,3
1995,7,2,0,0,1,2,1,0,19900,165.0,0.0,2
1996,6,2,0,0,1,0,0,0,19900,375.0,0.0,2
1976,5,2,0,0,0,0,0,0,19900,130.0,0.0,2
1994,4,1,0,0,0,0,0,0,19900,80.0,0.0,2
1996,5,2,0,1500,1,0,150,45,19900,50.0,0.0,1
2002,6,2,0,0,0,2,0,602,19900,89.0,0.0,2
2006,6,2,0,0,0,2,0,560,19900,97.0,0.0,2
1984,8,2,1,3000,2,4,330,0,19900,280.0,0.0,1
1970,5,2,0,0,0,0,0,1300,19900,206.0,0.0,2
2017,5,2,0,670,1,0,75,348,19900,159.0,0.0,2
1969,8,3,0,4800,1,6,250,2200,19900,157.0,0.0,1
2015,5,2,0,0,0,0,0,0,20500,,0.0,3
2020,5,2,0,1350,1,2,160,0,20499,153.0,1.0,3
2018,6,2,0,1060,0,0,0,0,20490,115.0,1.0,3
2020,5,2,0,0,0,0,0,0,22110,118.0,1.0,3
1989,8,3,0,0,1,2,0,400,22000,537.0,0.0,2
1992,7,2,0,0,0,0,150,600,22000,176.0,0.0,2
1993,7,2,0,0,0,0,0,236,22000,415.0,0.0,3
1978,8,2,0,0,1,1,150,2300,22000,593.0,0.0,1
2001,6,2,0,0,1,3,90,0,22000,527.0,0.0,2
1993,6,2,0,0,1,2,200,545,22000,265.0,0.0,2
2006,6,2,0,1600,1,0,100,0,22000,466.0,0.0,2
0,5,1,0,440,0,0,0,0,21990,159.0,1.0,3
0,5,2,0,740,0,0,80,0,21740,274.0,1.0,2
1972,7,2,0,0,2,1,100,950,21900,319.0,0.0,1
0,6,1,0,0,0,0,0,0,21900,157.0,1.0,3
0,6,1,0,0,0,0,0,0,21900,166.0,1.0,3
2020,5,2,0,1027,1,2,100,0,21396,73.0,1.0,2
0,5,2,0,1027,1,0,0,0,21396,116.0,1.0,2
2020,6,2,0,0,0,0,0,0,21300,43.0,1.0,3
2019,6,2,0,0,1,2,0,0,23000,394.0,1.0,3
1992,7,2,0,0,2,4,0,0,23000,863.0,0.0,2
2020,4,1,0,700,0,0,25,5,23000,235.0,0.0,2
2016,5,2,0,0,0,0,25,0,22900,135.0,0.0,2
2004,5,2,0,900,0,0,60,0,22900,457.0,0.0,2
2019,5,2,0,630,0,0,0,0,21090,135.0,1.0,3
1991,6,2,0,0,1,2,200,800,21000,49.0,0.0,1
1996,6,2,0,0,0,0,280,318,21000,97.0,0.0,2
1997,8,2,0,0,1,0,0,0,21000,241.0,0.0,2
1989,9,3,0,0,2,4,2,0,21000,190.0,0.0,1
2020,5,2,0,0,0,0,0,0,21000,62.0,1.0,2
1992,8,2,0,0,0,2,490,1343,21000,146.0,0.0,3
2016,6,2,0,0,0,0,0,0,21000,55.0,0.0,3
2010,6,2,0,1,0,0,0,700,22000,59.0,0.0,2
2010,6,2,0,1,0,0,0,0,22000,66.0,0.0,2
2002,7,2,0,0,0,4,0,0,22000,145.0,0.0,1
2007,6,2,0,1200,0,0,0,955,22000,141.0,0.0,2
2006,7,2,0,0,0,0,0,450,22000,139.0,0.0,2
1978,10,3,0,8770,2,4,0,0,22000,352.0,0.0,1
1979,9,3,0,0,0,0,450,3800,22000,190.0,0.0,1
1996,7,2,0,3940,2,2,280,0,22000,111.0,0.0,2
1989,7,2,0,0,1,0,0,0,22000,100.0,0.0,2
1968,5,1,0,1000,0,0,0,0,22000,107.0,0.0,3
2004,6,2,0,0,0,0,0,0,22000,297.0,0.0,1
1991,10,2,0,2800,1,2,500,630,22000,373.0,,2
1992,6,2,0,0,1,2,0,1300,22000,154.0,0.0,1
2005,7,2,0,0,0,0,0,1200,22000,,0.0,2
0,5,2,0,613,0,0,50,0,21999,88.0,1.0,2
1980,10,3,0,8,2,4,160,650,21990,145.0,,1
2020,5,2,0,0,0,0,110,0,22880,86.0,1.0,2
2020,5,2,0,670,1,2,105,0,22850,140.0,1.0,2
2020,5,2,0,390,0,0,0,0,169800,63.0,1.0,3
2020,5,2,0,580,0,0,0,0,22800,114.0,1.0,3
2018,5,2,0,0,0,0,0,0,22772,87.0,1.0,2
0,6,2,0,1285,1,0,0,0,22770,98.0,1.0,2
2020,5,2,0,1080,1,2,100,0,22765,49.0,1.0,3
0,5,2,0,1080,1,0,0,0,22764,71.0,1.0,2
2007,5,2,0,1441,0,0,0,0,169000,95.0,0.0,3
2003,7,2,0,0,0,4,0,500,22700,110.0,0.0,2
2020,5,2,0,340,0,0,0,0,22680,142.0,1.0,3
1988,7,2,0,1600,1,2,150,0,24500,422.0,0.0,2
1976,9,3,0,5000,2,5,600,0,24500,417.0,0.0,2
2015,6,2,0,0,1,0,200,260,24500,867.0,0.0,2
1995,7,2,0,0,0,4,0,0,24500,,0.0,1
2020,6,2,0,800,0,0,0,0,22520,107.0,1.0,3
2017,6,2,0,950,0,0,0,0,23640,109.0,1.0,3
2001,5,2,0,0,1,2,65,500,25500,483.0,0.0,2
2020,4,1,0,401,0,0,0,0,23530,84.0,1.0,2
2009,7,2,0,1200,1,0,240,0,23500,160.0,0.0,3
