Year Built,Length,Width,Depth,Displacement,Number of Cabins,Number of beds,Fuel Capacity,Engine Hours,PriceClean,Number of views last 7 days,New_Used,Fuel_Type
2003,14,4,0,0,2,4,1310,850,179000,119.0,0.0,1
2017,12,4,0,11500,2,4,50,50,179000,103.0,0.0,2
2012,11,3,0,8200,0,0,0,0,179000,137.0,0.0,3
2002,15,5,1,0,0,6,1900,2100,179000,70.0,0.0,3
1999,13,4,1,0,0,4,2500,2190,179000,118.0,0.0,3
2008,12,4,0,11700,2,4,1350,530,179000,69.0,0.0,1
2002,11,4,1,0,0,6,1250,1960,179000,49.0,0.0,3
2004,14,4,0,22000,3,6,0,0,179000,74.0,0.0,1
2008,13,3,1,0,2,4,2,1000,179000,142.0,0.0,3
1999,13,4,1,0,0,4,1170,1650,179000,105.0,0.0,3
2012,10,3,0,0,2,0,500,650,179000,,0.0,1
2017,10,3,1,5806,1,3,644,250,178900,71.0,0.0,2
2001,15,4,1,0,0,0,0,1650,210000,40.0,0.0,1
2020,10,3,0,0,0,0,0,0,1326600,165.0,1.0,3
2006,14,4,0,0,2,4,0,920,178000,69.0,0.0,3
2006,13,4,0,0,2,4,1200,920,178000,128.0,0.0,1
2008,13,4,1,21000,2,2,1200,1000,180000,42.0,0.0,1
1997,10,3,0,10200,2,2,1514,0,180000,35.0,0.0,1
2018,9,2,0,0,0,0,0,40,180000,79.0,0.0,2
2005,12,4,1,8660,1,2,1325,430,180000,66.0,0.0,1
2010,11,3,0,9300,2,4,960,650,180000,61.0,0.0,3
2008,11,3,0,11,2,4,920,0,180000,105.0,0.0,3
2014,9,3,0,0,0,0,0,0,180000,120.0,0.0,2
2020,9,2,0,0,1,2,320,0,180000,67.0,1.0,2
2000,17,4,1,0,3,6,2500,1150,180000,59.0,0.0,1
2001,14,4,1,0,3,6,1600,0,180000,124.0,0.0,1
2006,13,4,1,0,2,4,1500,900,180000,104.0,0.0,1
2008,13,4,0,0,2,5,1200,990,180000,41.0,0.0,1
2010,11,3,0,0,2,4,0,720,180000,57.0,0.0,3
2013,11,0,1,0,2,4,750,350,180000,179.0,0.0,1
1998,15,4,0,0,3,6,2000,800,180000,101.0,0.0,3
1998,17,4,1,0,3,6,3000,1000,180000,212.0,0.0,1
2011,13,4,0,0,0,0,0,0,187000,51.0,0.0,1
2018,9,3,1,4500,0,0,390,150,187000,120.0,0.0,3
1989,12,4,0,0,0,0,0,0,1387500,74.0,1.0,1
2006,11,4,0,0,0,0,0,0,1387500,43.0,1.0,1
2007,13,3,1,8515,1,2,1000,500,169999,221.0,0.0,3
2020,10,3,0,4200,2,4,800,0,185900,59.0,1.0,2
2020,9,3,1,0,1,2,0,0,185462,110.0,1.0,2
2015,10,2,0,4500,2,4,600,100,185000,286.0,0.0,2
2010,10,3,0,0,2,4,0,350,185000,53.0,0.0,1
2004,14,4,1,0,3,3,1200,1300,185000,82.0,0.0,1
2004,16,4,1,18000,2,4,2200,990,185000,86.0,0.0,1
2002,17,4,1,23000,3,0,2250,1070,185000,66.0,0.0,1
2002,14,4,1,0,0,4,0,1200,185000,73.0,0.0,3
2000,15,4,1,22500,3,6,2000,0,185000,107.0,0.0,1
2002,14,4,1,16750,3,6,2000,1270,185000,85.0,0.0,1
2009,18,4,1,48000,3,0,900,310,185000,63.0,0.0,1
2020,10,3,0,4638,0,0,0,0,1412000,68.0,1.0,3
2010,11,3,0,11000,2,0,1000,240,205000,331.0,0.0,1
2019,9,3,0,3000,0,0,380,57,1950000,139.0,0.0,3
2003,14,4,1,12900,2,4,1600,790,189500,139.0,0.0,1
0,14,4,0,0,0,0,24,0,189500,125.0,1.0,3
2019,9,3,1,0,2,6,300,0,172500,39.0,1.0,1
1997,15,4,1,23000,3,6,1300,1520,189000,79.0,0.0,1
2009,11,3,1,0,0,4,800,250,189000,116.0,0.0,3
2002,14,4,1,18000,2,4,1340,1000,189000,67.0,0.0,1
2006,13,4,1,0,0,4,1350,1325,189000,70.0,0.0,3
2008,13,4,1,11400,2,4,1330,600,189000,54.0,0.0,1
2004,15,4,1,0,2,4,2000,950,189000,156.0,0.0,1
2004,13,4,1,14000,3,6,1632,900,189000,74.0,0.0,1
2005,12,3,1,0,2,2,996,335,189000,68.0,0.0,1
2000,15,4,1,0,2,4,2000,685,189000,160.0,0.0,1
2005,13,4,1,0,2,4,0,2300,189000,81.0,0.0,1
2005,14,4,0,14900,3,6,1900,1350,195000,129.0,0.0,3
2015,11,3,0,0,2,4,0,635,195000,74.0,0.0,1
2011,12,4,0,0,0,2,0,0,195000,93.0,0.0,3
1967,22,5,2,0,5,10,6000,2100,195000,394.0,0.0,1
2010,13,4,1,13000,0,0,700,940,195000,302.0,0.0,1
2008,10,3,1,5500,1,2,700,180,195000,283.0,0.0,1
2009,11,3,1,8500,2,0,720,610,195000,,0.0,1
2007,12,3,1,10500,2,4,1260,950,194900,102.0,0.0,1
2007,12,3,1,10150,2,0,1260,830,194900,41.0,0.0,1
2020,8,2,0,0,0,0,0,0,194300,100.0,1.0,2
2019,7,2,0,2350,1,0,280,30,210000,122.0,1.0,2
0,9,3,0,6,0,0,300,0,194000,56.0,1.0,1
2015,10,4,1,7,2,6,1,290,194000,59.0,0.0,1
2008,10,3,0,0,0,0,0,544,194000,125.0,0.0,1
2020,9,3,0,0,1,4,0,0,193920,67.0,1.0,2
2013,9,3,0,8000,2,1,240,150,209000,216.0,0.0,1
2018,11,3,1,8956,0,0,750,0,197500,196.0,1.0,2
2002,13,4,1,0,0,6,550,490,197500,63.0,0.0,3
2000,14,4,1,0,0,5,1800,1200,197500,51.0,0.0,3
2018,11,2,0,0,0,0,0,196,197431,69.0,0.0,3
2016,10,3,0,6100,0,0,0,0,1468500,166.0,0.0,1
0,18,5,0,18000,3,0,300,0,197000,87.0,1.0,2
2016,10,3,1,6100,1,4,520,350,197000,101.0,0.0,1
2010,13,4,0,11000,2,4,980,288,197000,47.0,0.0,1
2004,13,4,1,14000,3,6,1600,1150,197000,168.0,0.0,1
2012,11,6,1,16024,3,3,397,0,229000,141.0,0.0,1
1991,18,4,1,0,2,6,0,0,196000,103.0,0.0,1
2009,13,4,0,10000,0,4,300,119,196000,224.0,0.0,1
2020,10,3,0,7200,2,4,300,0,195755,79.0,1.0,1
1999,14,4,1,0,3,0,0,1050,230000,47.0,0.0,1
0,8,2,0,0,1,0,0,0,210000,302.0,1.0,2
2018,8,2,0,0,1,2,0,0,210000,167.0,1.0,2
2009,13,4,0,0,3,6,1000,2100,199000,60.0,0.0,1
2004,13,3,1,9700,0,0,1800,0,199000,67.0,0.0,1
2011,13,4,0,11900,3,6,1500,605,199000,101.0,0.0,1
2019,10,3,0,0,2,4,0,40,199000,27.0,0.0,2
2011,11,3,1,8500,2,4,950,0,199000,98.0,0.0,2
2015,13,3,1,9000,2,4,950,310,199000,117.0,0.0,2
2011,13,4,1,0,2,6,2,590,199000,60.0,0.0,1
2015,11,3,1,6616,2,5,0,235,199000,90.0,0.0,1
2019,10,3,0,0,2,4,520,48,199000,37.0,0.0,2
2016,11,3,0,0,0,0,0,90,199000,98.0,0.0,1
2011,13,4,1,0,2,4,0,248,199000,59.0,0.0,1
2007,12,3,0,11000,2,4,900,750,199000,46.0,0.0,1
2019,11,4,0,23000,2,4,0,5,199000,169.0,0.0,2
2008,13,4,0,0,0,0,0,0,199000,86.0,0.0,1
1996,17,4,1,18,3,6,2300,1100,199000,229.0,0.0,1
2017,10,3,1,0,2,6,1,100,199000,46.0,0.0,1
2001,14,4,0,0,0,2,0,400,200000,169.0,0.0,3
2007,13,4,1,14480,2,4,1200,196,200000,126.0,0.0,3
2007,14,4,1,14500,2,4,1200,235,200000,,0.0,1
2003,13,4,1,0,2,4,2000,2000,200000,,0.0,1
2017,11,3,0,0,0,0,0,0,199999,79.0,1.0,3
2004,14,4,1,0,2,0,1310,990,199999,1230.0,0.0,1
1991,16,4,1,0,3,6,3600,0,199990,49.0,0.0,1
2009,13,4,1,0,3,6,920,0,199900,180.0,0.0,1
2010,13,4,0,0,2,6,0,350,199900,66.0,0.0,1
1999,13,4,1,0,0,0,1400,0,199900,54.0,0.0,1
2018,9,3,0,4800,2,4,500,0,199900,116.0,1.0,1
2019,9,3,1,0,2,4,0,0,199900,68.0,1.0,2
1995,14,4,1,35000,3,8,3500,1600,199900,36.0,0.0,3
2016,10,3,0,0,0,0,700,155,199900,160.0,0.0,2
2020,9,3,0,3000,2,6,380,0,199900,153.0,1.0,2
2020,9,2,0,3800,2,0,0,10,199900,71.0,0.0,2
2000,13,4,1,0,2,4,0,1605,209000,98.0,0.0,1
1999,14,4,1,0,0,6,2600,3000,209000,134.0,0.0,3
2017,10,3,0,0,2,0,0,36,209000,87.0,0.0,1
2020,10,3,0,0,3,8,0,0,209000,114.0,1.0,2
2014,0,0,0,0,0,0,0,228,209000,194.0,0.0,3
0,9,3,0,7,0,0,380,0,208500,99.0,1.0,1
0,10,3,0,0,0,0,0,0,208313,125.0,1.0,3
2008,11,4,0,9700,2,4,920,0,208000,45.0,0.0,1
2000,17,4,1,23600,0,2,2350,0,189000,115.0,0.0,1
0,9,3,0,5000,2,0,0,0,206000,30.0,1.0,2
1994,18,5,1,0,0,0,0,0,205000,93.0,0.0,1
2009,12,4,1,16000,2,4,1400,0,205000,135.0,0.0,1
2010,15,4,1,0,0,5,2000,100,205000,110.0,0.0,3
2009,11,3,1,11580,3,6,800,500,205000,85.0,0.0,1
2006,14,4,1,0,2,6,0,500,205000,69.0,0.0,1
2018,14,4,0,20000,0,0,0,0,205000,236.0,1.0,2
2014,12,3,1,8500,2,4,950,457,212000,132.0,0.0,1
2020,10,3,0,4822,3,6,800,0,212000,76.0,1.0,2
2013,11,3,0,7670,2,0,0,168,229000,247.0,0.0,1
2017,11,3,1,6400,1,2,600,300,211800,187.0,0.0,1
2004,15,4,0,0,0,0,0,0,1575000,73.0,,1
0,10,3,0,4912,2,0,0,0,211106,72.0,1.0,2
0,10,3,0,5900,0,0,630,0,210900,81.0,1.0,2
1995,15,4,1,20000,3,6,2130,936,210000,45.0,0.0,1
2015,9,3,0,0,1,2,820,315,210000,215.0,0.0,1
2005,13,3,1,0,0,0,0,0,210000,53.0,0.0,1
2004,15,4,0,0,3,7,0,800,210000,102.0,0.0,1
2003,14,3,0,0,2,4,1135,780,210000,88.0,0.0,1
2011,10,3,0,0,2,4,660,240,210000,116.0,0.0,1
2007,13,4,0,0,3,4,1300,295,210000,39.0,0.0,1
2008,13,4,1,0,0,4,500,0,210000,76.0,0.0,3
2003,14,3,1,15400,2,4,1365,780,210000,87.0,0.0,1
2006,12,3,1,0,2,4,996,750,219000,,0.0,1
2008,13,3,0,20000,2,2,995,0,199000,69.0,0.0,1
2013,11,3,0,0,2,4,650,50,218000,35.0,0.0,1
2015,11,3,1,8271,2,4,800,285,218000,66.0,0.0,1
2017,10,3,0,6600,2,4,520,0,235000,216.0,1.0,2
2020,11,3,0,0,0,0,0,0,1616900,177.0,1.0,3
2019,9,3,0,6847,2,4,560,0,217300,60.0,1.0,3
2019,8,3,0,3500,1,5,365,0,216590,84.0,1.0,1
2020,10,3,0,0,0,0,0,0,196795,44.0,1.0,3
2020,9,3,0,4500,2,4,540,0,232900,220.0,1.0,2
2020,9,3,0,0,1,4,0,0,215127,55.0,1.0,2
2004,17,4,1,0,3,6,1800,950,215000,149.0,0.0,1
2002,14,4,1,0,0,0,0,0,215000,71.0,0.0,1
2008,14,3,1,0,2,4,1000,585,215000,228.0,0.0,1
2000,15,4,0,0,6,6,0,0,215000,134.0,0.0,3
1999,15,4,1,18000,3,6,1800,850,215000,169.0,0.0,1
2019,9,3,1,0,0,3,0,0,220000,144.0,0.0,3
2002,15,4,0,1980,3,6,0,0,220000,49.0,0.0,1
2011,12,3,0,8900,2,4,800,450,220000,61.0,0.0,3
2010,11,3,1,12000,0,0,800,400,220000,66.0,0.0,1
2004,17,4,0,20000,3,6,2500,500,220000,161.0,0.0,3
1995,17,5,1,22500,4,8,2000,1400,220000,101.0,0.0,1
2016,11,3,1,5925,2,4,730,125,220000,129.0,0.0,1
2004,16,4,1,0,4,7,2200,560,220000,116.0,0.0,1
1998,15,4,1,19500,2,4,2600,1130,220000,103.0,0.0,1
2020,9,3,0,0,2,0,0,0,220000,72.0,1.0,2
2004,16,4,0,0,0,0,0,580,220000,313.0,0.0,1
1997,17,4,1,0,0,6,2570,1100,220000,137.0,0.0,3
2009,12,4,0,0,1,2,0,346,220000,54.0,0.0,1
2004,14,4,0,0,2,4,1300,580,220000,869.0,0.0,1
2010,11,3,1,0,2,0,1000,0,220000,1153.0,0.0,1
1991,23,5,1,65000,4,6,8000,1300,220000,157.0,0.0,3
2004,14,4,1,13000,3,8,1270,850,225000,58.0,0.0,1
2016,9,3,1,0,2,6,700,260,225000,58.0,0.0,1
2011,13,4,1,0,2,4,920,0,225000,83.0,0.0,1
2004,13,4,1,0,0,4,0,0,225000,78.0,0.0,3
2019,11,3,0,0,1,2,730,0,225000,272.0,1.0,2
2009,14,4,0,11600,3,7,650,1300,225000,82.0,0.0,1
1987,20,4,0,0,0,0,0,0,225000,59.0,0.0,1
2017,10,3,0,4100,2,6,250,320,225000,169.0,0.0,1
2008,12,4,1,12000,2,4,1200,450,225000,82.0,0.0,1
2004,13,4,0,0,2,4,1135,890,225000,82.0,0.0,1
1995,14,4,1,0,3,5,1500,1500,225000,69.0,0.0,1
2008,14,4,0,0,2,4,1600,730,225000,123.0,0.0,1
1951,38,5,1,0,0,9,4590,0,225000,34.0,0.0,3
2004,12,4,1,0,2,4,1,500,225000,89.0,0.0,3
2009,14,4,0,14000,3,6,1600,600,225000,62.0,0.0,3
2008,12,4,0,9800,3,6,1600,0,225000,186.0,0.0,1
2010,14,4,1,21,2,4,800,820,230000,109.0,0.0,1
1999,15,5,1,25400,3,6,2500,1800,230000,53.0,0.0,3
2008,13,4,1,11500,2,4,1100,700,230000,81.0,0.0,1
2011,11,3,0,0,3,6,650,0,230000,127.0,0.0,1
0,10,3,1,8,0,0,300,0,230000,96.0,1.0,1
2012,13,4,1,0,0,0,0,350,230000,103.0,0.0,1
2008,12,4,1,15000,2,4,1400,90,230000,53.0,0.0,1
2007,12,4,0,15220,2,4,1000,620,230000,101.0,0.0,3
2017,9,3,1,9000,2,4,600,210,230000,83.0,0.0,3
2006,14,4,1,0,3,6,1520,360,230000,115.0,0.0,1
2016,10,3,1,0,2,6,800,946,230000,129.0,0.0,1
1996,17,5,0,0,4,8,5000,1000,230000,33.0,0.0,1
2001,13,4,1,14000,3,4,1300,120,230000,37.0,0.0,1
2016,10,3,0,0,0,0,0,0,230000,146.0,0.0,2
2013,12,3,1,0,2,0,650,460,230000,158.0,0.0,1
2020,12,4,0,0,0,4,0,0,229900,61.0,1.0,3
1996,17,4,1,0,3,6,2182,1750,238000,201.0,0.0,1
2019,9,3,1,0,0,2,240,395,238000,102.0,0.0,3
2009,12,4,1,16140,2,4,1400,390,238000,36.0,0.0,1
2019,8,2,0,4500,2,0,360,90,238000,250.0,0.0,2
2019,9,3,0,6000,0,0,1400,0,237700,125.0,0.0,1
2019,9,3,0,0,0,0,700,0,237700,103.0,0.0,1
2009,10,3,1,0,2,4,700,805,237500,119.0,0.0,1
1954,42,5,1,0,5,0,2,0,237500,139.0,0.0,1
2020,9,3,0,5000,2,4,540,0,256740,200.0,1.0,2
2020,9,3,1,0,1,4,800,0,237000,80.0,1.0,2
2019,8,2,0,0,0,0,0,0,255468,157.0,1.0,2
2019,18,3,0,0,0,5,400,0,236250,44.0,1.0,3
2013,16,4,1,24000,3,2,1600,0,215000,92.0,0.0,1
2018,10,3,0,0,0,0,0,0,214950,74.0,1.0,1
2018,10,3,0,0,0,0,0,0,214950,62.0,1.0,1
2019,9,3,0,4200,2,6,390,0,254800,230.0,1.0,1
2011,11,3,1,0,2,4,800,500,240000,51.0,0.0,1
2017,11,3,0,0,2,5,0,35,240000,73.0,0.0,1
2016,11,3,0,7935,2,4,650,150,240000,58.0,0.0,1
2012,12,4,0,10900,3,5,1000,550,240000,118.0,0.0,1
2020,11,3,0,3590,2,4,0,0,240000,245.0,1.0,3
2009,12,4,1,0,0,0,0,0,240000,78.0,0.0,3
2005,15,4,1,0,2,4,2000,460,240000,74.0,0.0,1
2014,10,3,0,6000,2,4,650,0,240000,410.0,0.0,1
2006,13,4,1,14000,2,2,1400,540,240000,51.0,0.0,1
2007,14,4,1,0,0,0,0,0,240000,84.0,0.0,3
2019,10,3,0,0,0,0,0,50,240000,,0.0,1
2008,14,4,1,0,2,4,1300,530,239900,115.0,0.0,1
2020,9,3,0,0,0,0,0,0,239896,202.0,1.0,1
2017,11,3,0,0,2,4,600,240,239500,71.0,0.0,1
2020,10,3,0,4912,2,4,525,0,239190,95.0,1.0,1
2003,11,3,0,0,0,2,400,0,239000,80.0,0.0,3
2008,13,4,1,15000,3,6,1500,970,245000,76.0,0.0,1
2008,13,3,0,0,0,0,950,325,245000,136.0,0.0,1
2015,12,3,0,0,2,2,450,70,245000,84.0,0.0,1
2007,16,5,1,0,3,6,1980,1000,245000,72.0,0.0,1
2000,14,4,1,0,0,4,4000,1799,245000,49.0,0.0,3
2005,14,4,1,0,0,4,1200,464,245000,74.0,0.0,3
1989,23,5,1,0,4,9,7000,2500,245000,103.0,0.0,1
2011,7,2,0,0,0,0,0,0,245000,118.0,0.0,2
2006,12,4,1,15000,2,0,1100,466,245000,38.0,0.0,1
1999,13,4,0,16870,2,4,1200,405,245000,90.0,0.0,1
2020,8,2,1,0,0,0,360,0,245000,84.0,1.0,1
2000,18,5,2,39000,3,3,2850,710,245000,87.0,0.0,1
1998,17,4,1,0,3,6,0,950,245000,79.0,0.0,1
2019,8,2,0,0,0,0,567,0,245000,105.0,0.0,2
2016,11,3,0,0,2,6,0,0,245000,43.0,0.0,1
2009,13,4,1,15220,2,6,1100,0,245000,59.0,0.0,1
2011,13,4,1,0,0,2,1000,0,249500,67.0,0.0,3
1957,18,4,1,0,1,0,2,4059,249500,,0.0,1
2007,12,3,1,0,3,6,1000,655,249000,184.0,0.0,1
2011,14,4,1,11600,2,6,1300,159,249000,90.0,0.0,1
2004,16,4,1,0,0,6,2000,2000,249000,67.0,0.0,3
2008,16,4,1,0,3,6,1820,2500,249000,107.0,0.0,1
1997,16,4,1,0,3,6,5000,1900,249000,33.0,0.0,1
1911,25,4,1,0,2,4,1500,0,249000,71.0,0.0,1
2001,9,2,0,3800,1,2,400,147,249000,146.0,0.0,2
2008,13,4,1,0,3,6,1330,515,249000,50.0,0.0,1
1999,13,4,1,0,2,4,1670,0,249000,126.0,0.0,1
2019,11,3,0,0,0,0,730,20,249000,210.0,1.0,2
2007,16,4,1,0,0,16,0,0,249000,133.0,0.0,3
2007,15,4,0,0,0,0,0,0,249000,90.0,0.0,3
2020,10,3,0,0,2,4,0,5,249000,46.0,0.0,2
2018,9,3,1,5000,2,4,480,735,249000,137.0,0.0,1
2003,15,4,1,18800,2,2,2000,0,230000,35.0,0.0,1
2018,10,3,0,0,0,0,0,0,229950,18.0,1.0,1
2020,12,4,0,8500,2,4,600,0,251388,66.0,1.0,3
2006,14,4,0,18130,2,2,1310,515,229000,54.0,0.0,1
2011,7,2,0,8900,2,4,0,300,251000,38.0,0.0,1
2020,10,3,0,0,1,4,650,0,251000,215.0,1.0,1
1996,16,4,1,24000,3,4,2850,1514,250000,70.0,0.0,1
2000,22,5,1,55000,3,0,0,700,250000,232.0,0.0,1
2003,17,4,1,0,3,6,2180,1150,250000,130.0,0.0,1
2002,16,4,1,0,0,0,0,0,250000,110.0,0.0,1
2005,15,4,1,15037,2,0,1990,260,250000,38.0,0.0,1
1960,31,6,3,0,7,0,32000,0,250000,111.0,0.0,1
2018,10,3,0,5892,2,4,750,70,250000,144.0,0.0,1
1993,20,5,0,48000,3,6,7000,1350,250000,127.0,0.0,3
2016,12,4,1,13780,3,6,1628,250,250000,111.0,0.0,1
2018,9,3,0,5892,2,0,750,0,250000,117.0,1.0,1
2013,12,4,1,0,0,2,600,0,259000,61.0,0.0,3
2018,8,2,0,0,0,0,0,110,259000,39.0,0.0,1
0,10,3,1,4800,2,5,490,0,259000,98.0,0.0,1
2007,14,4,1,16400,2,4,1310,530,259000,85.0,0.0,1
2017,9,3,0,8271,2,4,800,0,259000,59.0,0.0,1
2014,11,3,1,9800,2,6,910,195,259000,95.0,0.0,1
2006,14,4,1,0,2,4,1402,900,259000,90.0,0.0,1
2007,15,4,1,0,1,6,2200,400,259000,71.0,0.0,3
2009,14,4,0,10600,2,4,1000,990,259000,86.0,0.0,1
2018,8,2,0,0,1,2,300,0,259000,57.0,1.0,2
2020,10,3,1,7100,2,4,570,0,259000,150.0,1.0,1
2005,19,4,1,21600,3,6,3000,870,259000,135.0,0.0,1
2001,14,4,1,0,3,6,1820,1100,259000,124.0,0.0,3
2020,9,3,1,5000,0,0,0,0,1924000,107.0,1.0,1
2019,9,3,0,5200,2,5,480,50,279000,,0.0,1
2019,9,3,0,0,0,0,0,0,258000,222.0,1.0,1
2008,15,4,0,0,2,0,0,0,265000,43.0,0.0,1
2008,13,4,1,0,2,4,2000,500,265000,89.0,0.0,1
2012,13,4,0,0,1,0,0,700,265000,126.0,0.0,1
1972,22,5,1,0,3,5,4880,3478,265000,100.0,0.0,1
2004,15,4,1,0,3,6,1700,900,265000,89.0,0.0,1
1966,16,4,1,0,0,4,2000,0,265000,138.0,0.0,3
2013,10,3,0,0,2,4,750,150,265000,134.0,0.0,1
2017,13,3,0,0,2,4,750,100,265000,379.0,0.0,2
2006,14,4,0,15500,3,6,2000,900,265000,114.0,0.0,1
2007,13,4,1,0,3,6,0,745,265000,175.0,0.0,1
2004,14,4,1,0,0,6,0,1495,265000,80.0,0.0,3
2018,9,2,1,3900,0,0,520,44,265000,413.0,0.0,2
2007,13,4,1,0,2,4,1100,1250,265000,81.0,0.0,1
2019,18,3,0,0,2,4,500,0,264900,76.0,1.0,1
0,9,3,0,5000,2,0,0,0,264800,61.0,1.0,1
2011,18,3,0,34000,2,0,1300,850,264500,39.0,0.0,1
2005,13,4,1,0,0,4,1550,2800,269900,110.0,0.0,3
2006,14,4,1,0,0,0,1310,0,269900,76.0,0.0,1
2016,12,4,1,0,0,2,500,547,269500,95.0,0.0,3
2001,17,4,1,0,3,6,2400,1700,269500,198.0,0.0,1
2019,9,3,0,0,1,2,0,0,269400,212.0,1.0,2
1999,17,4,1,24,3,6,2180,0,269000,127.0,0.0,1
2008,12,4,1,15500,2,4,1100,510,269000,145.0,0.0,3
2006,13,4,1,0,0,4,1300,1970,269000,48.0,0.0,1
2009,13,4,1,11300,2,4,996,390,269000,162.0,0.0,1
2013,12,3,1,0,2,6,0,0,269000,72.0,0.0,1
2008,12,4,1,15000,2,4,1100,850,269000,60.0,0.0,1
2018,11,3,0,0,2,4,700,0,269000,81.0,0.0,1
1996,18,4,1,0,3,6,2855,1355,269000,229.0,0.0,1
2017,10,3,1,8500,2,4,240,65,269000,97.0,0.0,1
2017,11,3,0,0,2,6,800,166,269000,66.0,0.0,1
1999,16,4,1,0,4,5,1091,0,269000,65.0,0.0,1
2010,13,4,1,0,2,4,1100,342,275000,97.0,0.0,1
2001,18,4,1,0,3,4,900,0,275000,122.0,0.0,3
2012,13,4,0,0,0,0,1100,300,275000,95.0,0.0,1
2009,12,3,1,0,2,4,0,1260,275000,144.0,0.0,1
2007,14,4,1,18000,2,2,1310,0,275000,51.0,0.0,1
2008,14,4,1,0,4,7,1700,750,275000,90.0,0.0,1
2007,14,4,0,16400,0,2,1310,0,275000,93.0,0.0,1
2017,10,3,1,0,2,4,240,230,275000,75.0,0.0,1
2003,16,4,1,21000,3,6,2627,1070,275000,109.0,0.0,1
2020,9,3,0,4050,2,4,250,0,275000,257.0,1.0,1
2011,10,3,1,6000,2,0,450,140,275000,78.0,0.0,1
2020,9,3,0,0,2,6,250,0,275000,212.0,1.0,1
2017,11,3,0,10770,0,0,1000,0,275000,259.0,0.0,1
2015,10,3,0,4640,0,0,0,0,275000,103.0,0.0,3
2007,14,4,1,0,2,2,1700,240,275000,197.0,0.0,1
2007,14,4,1,16400,2,4,1310,0,275000,196.0,0.0,1
2020,11,3,1,0,0,0,549,0,254950,48.0,1.0,1
2019,9,2,1,0,1,0,520,95,300000,603.0,0.0,2
2018,11,3,1,0,2,6,800,100,279500,49.0,0.0,1
2007,15,4,1,0,3,6,1750,569,279000,32.0,0.0,1
2007,14,4,1,15000,4,8,1750,600,279000,66.0,0.0,1
2017,10,3,0,0,2,2,650,20,279000,72.0,0.0,3
2007,16,4,0,0,3,0,0,450,279000,78.0,0.0,1
2003,15,4,0,18000,1,3,2000,932,279000,72.0,0.0,1
2016,13,4,1,0,2,6,1200,280,279000,100.0,0.0,1
2012,13,4,1,11000,2,3,1200,310,279000,108.0,0.0,1
2004,16,4,1,16400,3,6,1820,800,279000,111.0,0.0,1
2010,14,4,1,15550,3,6,1300,0,279000,85.0,0.0,1
2007,19,4,1,0,3,6,1000,820,279000,68.0,0.0,1
2007,17,4,1,0,3,6,2200,560,279000,26.0,0.0,1
2009,13,4,1,0,0,4,800,1275,279000,53.0,0.0,3
2005,15,5,1,26000,3,7,2000,1465,279000,47.0,0.0,1
2003,17,4,1,24500,3,0,2900,850,285000,56.0,0.0,1
2006,14,4,0,0,0,0,0,0,285000,70.0,0.0,3
2011,13,4,1,0,2,6,1500,350,285000,108.0,0.0,1
2011,13,4,1,0,2,4,0,0,285000,79.0,0.0,1
2002,16,4,1,0,3,6,0,0,285000,24.0,0.0,1
2005,15,4,1,0,3,6,2045,0,285000,181.0,0.0,1
2018,11,3,0,0,3,0,1000,0,285000,96.0,0.0,1
2013,13,4,1,0,2,6,0,0,285000,32.0,0.0,1
2009,14,4,0,0,2,4,1200,900,285000,51.0,0.0,1
2005,15,4,0,0,3,0,1600,0,285000,97.0,0.0,1
2006,15,4,1,18000,3,6,2100,270,285000,33.0,0.0,1
2018,12,4,0,11500,3,6,540,50,285000,159.0,0.0,1
2012,12,0,0,0,1,2,2,0,285000,79.0,0.0,3
2009,14,4,0,20760,3,6,2000,650,285000,64.0,0.0,1
2018,12,4,0,11500,3,6,540,0,285000,173.0,0.0,1
2011,13,4,1,9340,2,6,920,580,284000,61.0,0.0,1
2019,12,3,0,0,2,4,700,0,290000,76.0,0.0,1
2009,14,4,1,16400,2,4,1310,250,290000,214.0,0.0,1
2009,16,4,1,16700,3,6,1600,1200,290000,109.0,0.0,1
2020,11,3,1,0,2,0,800,1,290000,33.0,1.0,1
1997,19,4,1,22000,3,3,3020,0,290000,141.0,0.0,1
1928,50,6,1,0,0,0,0,0,290000,76.0,0.0,3
2011,13,4,1,10870,2,4,1400,650,290000,37.0,0.0,1
2010,12,3,0,8100,1,0,870,1500,290000,86.0,0.0,1
2010,16,4,1,0,3,2,1600,0,290000,99.0,0.0,3
2010,17,4,0,0,3,0,0,0,290000,130.0,0.0,1
2016,12,3,0,0,2,4,0,0,290000,106.0,0.0,1
2016,12,3,0,0,2,4,0,180,290000,71.0,0.0,1
2004,16,4,0,0,3,6,1817,1400,290000,212.0,0.0,1
2004,13,6,1,0,0,0,0,0,290000,78.0,0.0,3
2007,15,4,1,12850,3,3,1820,0,290000,66.0,0.0,1
2010,12,4,1,15120,3,6,1600,450,290000,96.0,0.0,3
2003,14,4,1,18000,3,0,2000,970,295000,62.0,0.0,1
2005,16,4,1,0,2,0,2100,360,295000,80.0,0.0,1
2004,17,4,1,0,3,6,2670,350,295000,60.0,0.0,1
2002,17,4,0,20000,3,6,2500,830,295000,43.0,0.0,1
2008,14,4,1,0,3,8,0,0,295000,74.0,,1
2000,13,4,1,0,0,4,1400,0,295000,71.0,0.0,3
1915,23,4,0,83000,2,5,1200,0,295000,109.0,0.0,1
